season,week,game_id,gameday,away,home,location,observedMargin,h4Base,homeStrength,awayStrength,baselineMargin,residual,bookNetSUnits,travelMiles,EXT_ALTITUDE_HIGH,EXT_BYE_STRENGTH,EXT_REST_DIFF_DAYS,EXT_SURFACE_AWAY_SYNTH_MISMATCH,EXT_TRAVEL_1000MI,EXT_TRAVEL_1250_1999,EXT_TRAVEL_750_1249,EXT_TRAVEL_X_ROAD,EXT_TZ_EARLY_EASTWARD,EXT_TZ_NIGHT_WESTWARD,S_AWAY_BOUNCE,S_AWAY_BYE,S_AWAY_OFF_AWAY_OT,S_AWAY_OFF_HOME_OT,S_AWAY_OFF_MNF_AWAY,S_AWAY_OFF_MNF_HOME,S_DIFFERENT_CONFERENCE,S_EARLY_MOUNTAIN,S_EARLY_WEST,S_HOME_BOUNCE,S_HOME_BYE,S_HOME_MONDAY_NIGHT,S_HOME_OFF_AWAY_OT,S_HOME_OFF_HOME_OT,S_HOME_OFF_MNF_AWAY,S_HOME_SUNDAY_NIGHT,S_HOME_THURSDAY_NIGHT,S_NIGHT_CENTRAL,S_NIGHT_EAST,S_NIGHT_MOUNTAIN,S_SAME_DIVISION,S_SB_LOSER,S_SB_WINNER,S_SECOND_REMOTE_TWO_TZ,S_THIRD_AWAY_IN_FOUR,S_TRAVEL_2000_PLUS,S_TURF_OPPOSITE,S_TURF_SAME
2021,2,2021_02_LA_IND,2021-09-19,LAR,IND,Home,-3.0,2.082,0.791657,5.391716,-2.51806,-0.48194,2.0,1813.100547,0.0,0.0,0.0,0.0,1.813101,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2021,2,2021_02_LV_PIT,2021-09-19,LV,PIT,Home,-9.0,2.082,1.814296,-5.767863,9.66416,-18.66416,11.0,1918.378192,0.0,0.0,1.0,0.0,1.918378,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2021,2,2021_02_MIN_ARI,2021-09-19,MIN,ARI,Home,1.0,2.082,-5.205615,2.916557,-6.040172,7.040172,3.0,1282.684837,0.0,0.0,0.0,1.0,1.282685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021,2,2021_02_NE_NYJ,2021-09-19,NE,NYJ,Home,-19.0,2.082,-5.473035,6.144797,-9.535832,-9.464168,-2.0,170.187519,0.0,0.0,0.0,0.0,0.170188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2021,2,2021_02_NO_CAR,2021-09-19,NO,CAR,Home,19.0,2.082,-3.070265,7.221571,-8.209835,27.209835,0.0,648.697077,0.0,0.0,0.0,1.0,0.648697,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021,2,2021_02_NYG_WAS,2021-09-16,NYG,WAS,Home,1.0,2.082,-6.475964,-4.579026,0.185063,0.814937,8.0,198.052961,0.0,0.0,0.0,1.0,0.198053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021,2,2021_02_SF_PHI,2021-09-19,SF,PHI,Home,-6.0,2.082,1.116961,2.334001,0.86496,-6.86496,4.0,2502.322348,0.0,0.0,0.0,0.0,2.502322,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,-1.0
2021,2,2021_02_TEN_SEA,2021-09-19,TEN,SEA,Home,-3.0,2.082,3.063983,0.819878,4.326105,-7.326105,0.0,1970.629492,0.0,0.0,0.0,0.0,1.970629,1.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021,3,2021_03_ARI_JAX,2021-09-26,ARI,JAX,Home,-12.0,2.082,-4.459847,-5.040977,2.663129,-14.663129,1.0,1802.958693,0.0,0.0,0.0,0.0,1.802959,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2021,3,2021_03_ATL_NYG,2021-09-26,ATL,NYG,Home,-3.0,2.082,-4.610225,-1.490477,-1.037748,-1.962252,-3.0,747.417492,0.0,0.0,3.0,0.0,0.747417,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2021,3,2021_03_BAL_DET,2021-09-26,BAL,DET,Home,-2.0,2.082,-3.125435,8.109444,-9.152879,7.152879,-2.0,396.795381,0.0,0.0,-1.0,0.0,0.396795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021,3,2021_03_CAR_HOU,2021-09-23,CAR,HOU,Home,-15.0,2.082,1.629591,-2.507847,6.219438,-21.219438,10.0,929.833746,0.0,0.0,0.0,0.0,0.929834,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021,3,2021_03_CHI_CLE,2021-09-26,CHI,CLE,Home,20.0,2.082,-1.372262,2.419681,-1.709943,21.709943,0.0,306.259003,0.0,0.0,0.0,0.0,0.306259,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
